,cluster,source_id,tf_name,family_name,motif_type,PMID,cluster_annotation
643,AC0136,MA0024.3,E2F1,Fork head/winged helix factors,Unknown,9372931,Fork head/winged helix factors/C2H2 zinc finger factors
644,AC0136,MA0469.4,E2F3,Fork head/winged helix factors,Unknown,18836037,Fork head/winged helix factors/C2H2 zinc finger factors
645,AC0136,MA0470.3,E2F4,Fork head/winged helix factors,Unknown,18836037,Fork head/winged helix factors/C2H2 zinc finger factors
646,AC0136,MA0864.3,E2F2,Fork head/winged helix factors,Unknown,18836037,Fork head/winged helix factors/C2H2 zinc finger factors
647,AC0136,MA1727.2,ZNF417,C2H2 zinc finger factors,Unknown,32923624,Fork head/winged helix factors/C2H2 zinc finger factors
648,AC0137,MA0463.3,BCL6,C2H2 zinc finger factors,Unknown,7945383,C2H2 zinc finger factors
649,AC0137,MA0731.1,BCL6B,C2H2 zinc finger factors,Unknown,11374866,C2H2 zinc finger factors
650,AC0138,MA0137.4,STAT1,STAT domain factors,Unknown,17558387,STAT domain factors/Rel homology region (RHR) factors
651,AC0138,MA0144.3,STAT3,STAT domain factors,Unknown,18555785,STAT domain factors/Rel homology region (RHR) factors
652,AC0138,MA1116.2,RBPJ,Rel homology region (RHR) factors,Unknown,23651858,STAT domain factors/Rel homology region (RHR) factors
653,AC0139,MA0509.3,RFX1,Fork head/winged helix factors,Unknown,28473536,Fork head/winged helix factors
654,AC0139,MA0510.3,RFX5,Fork head/winged helix factors,Unknown,8754849,Fork head/winged helix factors
655,AC0139,MA0600.3,RFX2,Fork head/winged helix factors,Unknown,8754849,Fork head/winged helix factors
656,AC0139,MA0798.3,RFX3,Fork head/winged helix factors,Unknown,20378718,Fork head/winged helix factors
657,AC0139,MA1554.2,RFX7,Fork head/winged helix factors,Unknown,23354101,Fork head/winged helix factors
658,AC0140,MA0799.3,RFX4,Fork head/winged helix factors,Unknown,8754849,Fork head/winged helix factors
659,AC0141,MA0113.4,NR3C1,Nuclear receptors with C4 zinc fingers,Unknown,15563547,Nuclear receptors with C4 zinc fingers
660,AC0141,MA0727.2,NR3C2,Nuclear receptors with C4 zinc fingers,Unknown,15563547,Nuclear receptors with C4 zinc fingers
661,AC0141,MA2327.1,PGR,Nuclear receptors with C4 zinc fingers,Unknown,25779349,Nuclear receptors with C4 zinc fingers
662,AC0142,MA0527.2,ZBTB33,C2H2 zinc finger factors,Unknown,23693142,C2H2 zinc finger factors
663,AC0143,MA0749.2,ZBED1,C2H2 zinc finger factors,Unknown,12663651,C2H2 zinc finger factors
664,AC0144,MA0863.1,MTF1,C2H2 zinc finger factors,Unknown,8265351,C2H2 zinc finger factors
665,AC0145,MA0646.2,GCM1,GCM domain factors,Unknown,8962155,GCM domain factors
666,AC0145,MA0767.2,GCM2,GCM domain factors,Unknown,8962155,GCM domain factors
667,AC0146,MA2331.1,ZNF157,C2H2 zinc finger factors,Unknown,28273063,C2H2 zinc finger factors
668,AC0147,MA1717.2,ZNF784,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
669,AC0148,MA1730.2,ZNF708,C2H2 zinc finger factors,Unknown,28273063,C2H2 zinc finger factors
670,AC0149,MA1722.2,ZSCAN31,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
671,AC0150,MA1983.2,ZNF582,C2H2 zinc finger factors,Unknown,31162603,C2H2 zinc finger factors
672,AC0151,MA1548.2,PLAGL2,C2H2 zinc finger factors,Unknown,11832486,C2H2 zinc finger factors
673,AC0152,MA1986.2,ZNF692,C2H2 zinc finger factors,Unknown,25690854,C2H2 zinc finger factors
674,AC0153,MA0508.4,PRDM1,C2H2 zinc finger factors,Unknown,28473536,C2H2 zinc finger factors
675,AC0153,MA2120.1,ZNF184,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
676,AC0154,MA1718.1,ZNF8,C2H2 zinc finger factors,Unknown,28273063,C2H2 zinc finger factors
677,AC0154,MA1974.2,ZNF211,C2H2 zinc finger factors,Unknown,29146583,C2H2 zinc finger factors
678,AC0155,MA0752.2,ZNF410,C2H2 zinc finger factors,Unknown,19443739,C2H2 zinc finger factors
679,AC0156,MA1154.2,ZNF282,C2H2 zinc finger factors,Unknown,28092692,C2H2 zinc finger factors
680,AC0157,MA0088.2,ZNF143,C2H2 zinc finger factors,Unknown,9009278,C2H2 zinc finger factors
681,AC0157,MA1716.2,ZNF76,C2H2 zinc finger factors,Unknown,28473536,C2H2 zinc finger factors
682,AC0158,MA0619.2,LIN54,CRC domain,Unknown,19725879,CRC domain
683,AC0159,MA1580.1,ZBTB32,C2H2 zinc finger factors,Unknown,23794217,C2H2 zinc finger factors
684,AC0160,MA1731.2,ZNF768,C2H2 zinc finger factors,Unknown,30476274,C2H2 zinc finger factors
685,AC0161,MA1964.2,SMAD2,SMAD/NF-1 DNA-binding domain factors,Unknown,21828274,SMAD/NF-1 DNA-binding domain factors
686,AC0162,MA2100.1,ZSCAN16,C2H2 zinc finger factors,Unknown,22955616,C2H2 zinc finger factors
687,AC0163,MA1155.1,ZSCAN4,C2H2 zinc finger factors,Unknown,28092692,C2H2 zinc finger factors
688,AC0164,MA0083.3,SRF,MADS box factors,Unknown,2243767,MADS box factors
689,AC0165,MA1592.2,ZNF274,C2H2 zinc finger factors,Unknown,21170338,C2H2 zinc finger factors
690,AC0166,MA1125.2,ZNF384,C2H2 zinc finger factors,Unknown,11149472,C2H2 zinc finger factors
691,AC0167,MA1585.2,ZKSCAN1,C2H2 zinc finger factors,Unknown,28092692,C2H2 zinc finger factors
692,AC0168,MA1588.1,ZNF136,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
693,AC0169,MA0672.2,NKX2-3,Homeo domain factors,Unknown,11042197,Homeo domain factors
694,AC0169,MA0673.2,NKX2-8,Homeo domain factors,Unknown,11042197,Homeo domain factors
695,AC0169,MA2003.2,NKX2-4,Homeo domain factors,Unknown,18585359,Homeo domain factors
696,AC0170,MA0063.3,NKX2-5,Homeo domain factors,Unknown,27013732,Homeo domain factors/Tryptophan cluster factors
697,AC0170,MA1523.2,MSANTD3,Tryptophan cluster factors,Unknown,12354778,Homeo domain factors/Tryptophan cluster factors
698,AC0170,MA1645.2,NKX2-2,Homeo domain factors,Unknown,18585359,Homeo domain factors/Tryptophan cluster factors
699,AC0171,MA0014.4,PAX5,Paired box factors,Unknown,8406007,Paired box factors
700,AC0171,MA0067.3,PAX2,Paired box factors,Unknown,8132558,Paired box factors
701,AC0171,MA0779.2,PAX1,Paired box factors,Unknown,19132093,Paired box factors
702,AC0171,MA0781.2,PAX9,Paired box factors,Unknown,19132093,Paired box factors
703,AC0171,MA2094.1,PAX8,Paired box factors,Unknown,22531031,Paired box factors
704,AC0172,MA0498.3,MEIS1,Homeo domain factors,Unknown,9405651,Homeo domain factors
705,AC0172,MA0774.1,MEIS2,Homeo domain factors,Unknown,9405651,Homeo domain factors
706,AC0172,MA0775.2,MEIS3,Homeo domain factors,Unknown,9405651,Homeo domain factors
707,AC0172,MA0782.3,PKNOX1,Homeo domain factors,Unknown,23602564,Homeo domain factors
708,AC0172,MA1114.2,PBX3,Homeo domain factors,Unknown,10082572,Homeo domain factors
