num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
60,96,0.0001,0.3,995,0.047512833,0.21797438,0.16655973,0.3675215600526251,0.612244827598845,0.5426681994663094,0.047512833,0.21797438,0.16655973,0.3675215600526251,0.612244827598845,0.5426681994663094,28,28
60,96,0.0005,0.3,995,0.04884245,0.22100328,0.16972494,0.3498220444390858,0.60828799681063,0.5314537964312187,0.04857846,0.22040522,0.1691423,0.3533362057475953,0.601355974854459,0.5319756054863217,6,0
60,96,0.001,0.3,995,0.052485358,0.22909683,0.17566507,0.301328636246274,0.5786827211599613,0.5063200647426261,0.052485358,0.22909683,0.17566507,0.301328636246274,0.5786827211599613,0.5063200647426261,1,1
70,96,0.0001,0.3,995,0.04772335,0.21845675,0.16745916,0.3647192039633494,0.6161291459506609,0.5454462937140978,0.04728355,0.2174478,0.1665706,0.3705736992760672,0.6157089881673037,0.5447414990362127,36,28
70,96,0.0005,0.3,995,0.049610723,0.22273465,0.17085938,0.3395949567183365,0.602377548165643,0.532577786444817,0.049610723,0.22273465,0.17085938,0.3395949567183365,0.602377548165643,0.532577786444817,0,0
70,96,0.001,0.3,995,0.050483085,0.22468442,0.1729716,0.3279823346766093,0.6007152927236992,0.5212446838961264,0.04971704,0.22297318,0.17073023,0.3381796814959505,0.5947320832343613,0.523941523513138,1,4
80,96,0.0001,0.3,995,0.046839375,0.21642406,0.16584475,0.3764864684829792,0.6199353918098464,0.5444990950540212,0.046839375,0.21642406,0.16584475,0.3764864684829792,0.6199353918098464,0.5444990950540212,23,23
80,96,0.0005,0.3,995,0.049033623,0.22143537,0.16965997,0.3472771639833159,0.6029258076345795,0.5297523515395368,0.049033623,0.22143537,0.16965997,0.3472771639833159,0.6029258076345795,0.5297523515395368,0,0
80,96,0.001,0.3,995,0.048835795,0.22098823,0.16881807,0.3499105806235035,0.6036718066949086,0.5273079015305909,0.048835795,0.22098823,0.16881807,0.3499105806235035,0.6036718066949086,0.5273079015305909,1,1
90,96,0.0001,0.3,995,0.046745144,0.21620625,0.16623378,0.3777408383210251,0.6214900639490628,0.5530156682875306,0.04679951,0.21633194,0.16650823,0.3770171075908853,0.6179774090066592,0.5508801479719678,23,17
90,96,0.0005,0.3,995,0.048649117,0.22056545,0.17039904,0.3523955842430362,0.6079696490758983,0.5416655110086565,0.048649117,0.22056545,0.17039904,0.3523955842430362,0.6079696490758983,0.5416655110086565,0,0
90,96,0.001,0.3,995,0.04816205,0.21945854,0.16873917,0.3588793209720786,0.612824998665714,0.5414177329530067,0.04816205,0.21945854,0.16873917,0.3588793209720786,0.612824998665714,0.5414177329530067,1,1
100,96,0.0001,0.3,995,0.04895532,0.22125849,0.17000009,0.3483194743191272,0.6044904673204198,0.5361922072147143,0.048541684,0.22032177,0.16927662,0.3538256854036685,0.606128762717939,0.5384305525214205,22,26
