CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
50,832,AC0069(Pax4)-f15,AC0069(Pax4)-f43,AC0069(Pax4)-f2,AC0069(Pax4)-f20,AC0069(Pax4)-f1,AC0069/AC0048(Pax4/Gata1::Tal1)-f34,AC0069(Pax4)-f5,AC0069(Pax4)-f24,AC0069/AC0028(Pax4/Prdm15)-f28,AC0045/AC0047/AC0076(Ebf4/Ebf2/Plagl1/Rfx1/EBF1)-f37,0.27588657,0.25302306,0.2514309,0.25013807,0.24926773,0.24590537,0.2286285,0.2273272,0.22712612,0.17786254
50,350,AC0069(Pax4)-f39,AC0069(Pax4)-f3,AC0069(Pax4)-f4,AC0069(Pax4)-f16,AC0069/AC0073(Pax4/Prdm5)-f24,AC0069(Pax4)-f10,AC0069/AC0052(Pax4/Bcl11B)-f17,AC0069(Pax4)-f28,AC0069/AC0033(Pax4/Hes1/Tcfl5)-f19,AC0065/AC0069(Klf4/Pax4)-f49,0.26602653,0.26016316,0.22251013,0.21566738,0.21417072,0.21408807,0.21059977,0.2007036,0.1971952,0.1910973
55,223,AC0069(Pax4)-f17,AC0069/AC0065(Pax4/Klf4)-f10,AC0057(Npas4)-f2,AC0069(Pax4)-f6,AC0069(Pax4)-f14,AC0069(Pax4)-f51,AC0069(Pax4)-f45,AC0069(Pax4)-f25,AC0069(Pax4)-f49,AC0069/AC0002/AC0052(Pax4/Irf1/Bcl11B)-f23,0.2603071,0.23292458,0.23135504,0.2296591,0.22768833,0.22559573,0.22360784,0.22178903,0.22078472,0.21577746
55,276,AC0005(SOX10)-f40,AC0069(Pax4)-f54,AC0069/AC0064(Pax4/Pparg::Rxra)-f21,AC0069(Pax4)-f1,AC0069(Pax4)-f35,AC0069(Pax4)-f30,AC0047(Plagl1)-f26,AC0069(Pax4)-f47,AC0069/AC0068(Pax4/Pax5)-f31,AC0069(Pax4)-f53,0.2710914,0.26312742,0.24975824,0.23943368,0.23317687,0.23022413,0.2184882,0.21228969,0.21216163,0.19176608
55,291,AC0069(Pax4)-f36,AC0069(Pax4)-f8,AC0069(Pax4)-f54,AC0069(Pax4)-f41,AC0069(Pax4)-f1,AC0069(Pax4)-f16,AC0069(Pax4)-f23,AC0069(Pax4)-f39,AC0069/AC0065/AC0073(Pax4/Klf4/Prdm5)-f42,AC0069/AC0052(Pax4/Bcl11B)-f21,0.2560608,0.2500398,0.24590102,0.23579523,0.2276401,0.22382171,0.21464905,0.20548436,0.20104142,0.19612446
55,832,AC0069(Pax4)-f5,AC0069/AC0065/AC0064(Pax4/Klf4/Pparg::Rxra)-f3,AC0069(Pax4)-f32,AC0069(Pax4)-f44,AC0069(Pax4)-f47,AC0069(Pax4)-f48,AC0075(Zfp335)-f13,AC0069(Pax4)-f28,AC0069(Pax4)-f20,AC0069(Pax4)-f23,0.2614203,0.25598702,0.2497047,0.2369743,0.23363799,0.22066948,0.19954777,0.19455178,0.18146442,0.17818052
55,350,AC0073(Prdm5)-f3,AC0069(Pax4)-f43,AC0069(Pax4)-f22,AC0069(Pax4)-f18,AC0069(Pax4)-f25,AC0069(Pax4)-f54,AC0069(Pax4)-f32,AC0069(Pax4)-f17,AC0069(Pax4)-f21,AC0069(Pax4)-f52,0.2688963,0.26603776,0.2577536,0.25224453,0.24269971,0.24101034,0.23490015,0.23301458,0.23131174,0.19519621
60,223,AC0069(Pax4)-f55,AC0069/AC0052(Pax4/Bcl11B)-f33,AC0069(Pax4)-f30,AC0069(Pax4)-f58,AC0069(Pax4)-f39,AC0069(Pax4)-f50,AC0061/AC0069(Nr1h3::Rxra/Pax4)-f37,AC0069(Pax4)-f1,AC0069(Pax4)-f48,AC0069(Pax4)-f38,0.25068992,0.22204705,0.21981451,0.21879707,0.21306089,0.19147629,0.1818704,0.18083459,0.1792134,0.17871556
60,276,AC0069(Pax4)-f3,AC0069(Pax4)-f28,AC0064/AC0048(Pparg::Rxra/Gata3)-f31,AC0069(Pax4)-f8,AC0065/AC0069/AC0064(Klf4/Pax4/Pparg::Rxra)-f0,AC0069(Pax4)-f16,AC0069(Pax4)-f4,AC0069(Pax4)-f38,AC0069(Pax4)-f13,AC0069(Pax4)-f14,0.24236771,0.21706127,0.21520334,0.209834,0.20280746,0.20042442,0.19928429,0.17286937,0.17112724,0.15162405
60,291,AC0068(Pax5)-f39,AC0069(Pax4)-f21,AC0069(Pax4)-f40,AC0069(Pax4)-f26,AC0069(Pax4)-f56,AC0069/AC0064(Pax4/Pparg::Rxra)-f45,AC0069(Pax4)-f58,AC0069(Pax4)-f29,AC0069(Pax4)-f52,AC0069(Pax4)-f2,0.2231382,0.21732342,0.21649224,0.20858665,0.20632347,0.20509695,0.18945898,0.18931785,0.18712787,0.17608598
60,832,AC0069(Pax4)-f14,AC0069(Pax4)-f37,AC0069(Pax4)-f47,AC0069(Pax4)-f30,AC0069/AC0002(Pax4/Stat2)-f44,AC0069(Pax4)-f51,AC0069/AC0064/AC0058(Pax4/Pparg::Rxra/NR5A1)-f33,AC0069(Pax4)-f3,AC0069(Pax4)-f54,AC0052(Bcl11B)-f39,0.24840504,0.24589963,0.23969486,0.23093209,0.2234211,0.22276475,0.17985663,0.17899692,0.1744286,0.17403245
60,350,AC0069(Pax4)-f29,AC0069(Pax4)-f8,AC0069(Pax4)-f53,AC0001(Foxk1)-f3,AC0069(Pax4)-f30,AC0026/AC0069(Ptf1a/Neurod2/Pax4/Bhlha15/Ptf1A)-f13,AC0069(Pax4)-f42,AC0069/AC0068(Pax4/Pax5)-f54,AC0069(Pax4)-f17,AC0069(Pax4)-f15,0.27738762,0.2767246,0.26431593,0.24889709,0.22642927,0.22434512,0.19384804,0.18256266,0.14409487,0.13479166
65,223,AC0069(Pax4)-f3,AC0058(NR5A1)-f61,AC0069(Pax4)-f22,AC0069(Pax4)-f6,AC0063(Lef1)-f58,AC0069(Pax4)-f38,AC0069(Pax4)-f53,AC0069(Pax4)-f10,AC0068/AC0069(Pax5/Pax4)-f30,AC0069(Pax4)-f12,0.22181542,0.22120927,0.21262898,0.20502414,0.19403505,0.1916425,0.1904994,0.19024906,0.18194802,0.17765808
65,276,AC0069(Pax4)-f63,AC0069/AC0065/AC0064(Pax4/Klf4/Pparg::Rxra)-f8,AC0069(Pax4)-f2,AC0069(Pax4)-f53,AC0069/AC0012(Pax4/Lhx1)-f58,AC0066(Gli1)-f9,AC0069(Pax4)-f20,AC0069(Pax4)-f49,AC0069(Pax4)-f61,AC0069(Pax4)-f27,0.22652268,0.20536454,0.20521389,0.19555071,0.19330153,0.1919107,0.1901028,0.18901761,0.18511704,0.1730262
65,291,AC0069(Pax4)-f61,AC0069(Pax4)-f39,AC0069(Pax4)-f24,AC0069(Pax4)-f37,AC0069(Pax4)-f4,AC0069(Pax4)-f47,AC0069(Pax4)-f45,AC0012/AC0069(Lhx1/Dlx5/Dlx3/Pax4)-f23,AC0069(Pax4)-f54,AC0069(Pax4)-f7,0.23552959,0.22849989,0.2246592,0.21268259,0.20921841,0.20793213,0.19519113,0.16948229,0.16838004,0.16736141
65,832,AC0073/AC0069(Prdm5/Pax4)-f63,AC0069(Pax4)-f9,AC0069/AC0058/AC0064(Pax4/NR5A1/Pparg::Rxra)-f32,AC0069(Pax4)-f33,AC0040(NR3C1)-f18,AC0069(Pax4)-f26,AC0069(Pax4)-f15,AC0069(Pax4)-f64,AC0069(Pax4)-f27,AC0069(Pax4)-f44,0.20003258,0.18904097,0.18643379,0.18561451,0.17430946,0.1644071,0.15845168,0.15785885,0.15538062,0.14694802
65,350,AC0069/AC0012(Pax4/Lhx1)-f6,AC0069(Pax4)-f42,AC0069(Pax4)-f61,AC0069(Pax4)-f58,AC0069(Pax4)-f47,AC0069(Pax4)-f60,AC0069(Pax4)-f38,AC0069(Pax4)-f24,AC0023(Msgn1)-f1,AC0069(Pax4)-f29,0.21656615,0.21635331,0.21031237,0.19694999,0.19478142,0.19313347,0.19110067,0.17925587,0.15911831,0.15406398
70,223,AC0047(Plagl1)-f17,AC0069(Pax4)-f69,AC0069(Pax4)-f5,AC0069(Pax4)-f9,AC0069(Pax4)-f47,AC0079(Stat5b)-f12,AC0069(Pax4)-f44,AC0069(Pax4)-f1,AC0026/AC0025(Neurod2/Neurog1/Ptf1a)-f36,AC0025(Neurog1)-f48,0.21445107,0.21157159,0.20813131,0.18905394,0.18692233,0.18688479,0.18153635,0.18114078,0.18009022,0.17154463
70,276,AC0069/AC0072(Pax4/Nfat5)-f67,AC0002(Stat2/Irf1)-f25,AC0069(Pax4)-f14,AC0069(Pax4)-f35,AC0069(Pax4)-f33,AC0069(Pax4)-f42,AC0033/AC0069/AC0052(Hes1/Pax4/Bcl11B)-f46,AC0069(Pax4)-f24,AC0069(Pax4)-f66,AC0069(Pax4)-f60,0.22651197,0.2250953,0.21813908,0.21360928,0.20414777,0.20214254,0.19330579,0.19306071,0.19049233,0.18277499
70,291,AC0007(Nkx2-1)-f29,AC0069(Pax4)-f63,AC0069(Pax4)-f44,AC0045(Ebf2)-f10,AC0045(Ebf4)-f23,AC0069/AC0052/AC0068(Pax4/Bcl11B/Pax5)-f8,AC0069(Pax4)-f1,AC0069/AC0073(Pax4/Prdm5)-f32,AC0069(Pax4)-f25,AC0069(Pax4)-f66,0.2516003,0.19953899,0.18926014,0.18447301,0.18428497,0.18312544,0.18283448,0.18123502,0.1811128,0.16800037
70,832,AC0069(Pax4)-f48,AC0069(Pax4)-f66,AC0069(Pax4)-f53,AC0069(Pax4)-f24,AC0069(Pax4)-f39,AC0069(Pax4)-f49,AC0026/AC0033/AC0047(Ptf1A/Arntl/Mitf/Plagl1)-f8,AC0069(Pax4)-f43,AC0069(Pax4)-f31,AC0069(Pax4)-f1,0.20852286,0.18470515,0.1795633,0.16527358,0.16055262,0.1602149,0.16015066,0.15508308,0.15161115,0.15036431
70,350,AC0069(Pax4)-f27,AC0069(Pax4)-f36,AC0070(Wt1)-f68,AC0069(Pax4)-f51,AC0069(Pax4)-f28,AC0069(Pax4)-f49,AC0002(Stat2)-f29,AC0069/AC0058(Pax4/NR5A1)-f6,AC0069/AC0065/AC0064(Pax4/Klf4/Pparg::Rxra)-f59,AC0069(Pax4)-f0,0.19925877,0.19602643,0.1857793,0.17500511,0.16252142,0.1550434,0.15243907,0.15220135,0.14508544,0.12948422
75,223,AC0069(Pax4)-f12,AC0069(Pax4)-f9,AC0069(Pax4)-f59,AC0069(Pax4)-f72,AC0069(Pax4)-f62,AC0069(Pax4)-f47,AC0069/AC0012(Pax4/Lhx1)-f49,AC0069(Pax4)-f17,AC0069(Pax4)-f27,AC0063/AC0069(Lef1/Pax4)-f38,0.18587713,0.18280469,0.17965469,0.1764664,0.17380029,0.17104854,0.16506933,0.16077149,0.15494207,0.15360875
75,276,AC0069(Pax4)-f42,AC0069(Pax4)-f55,AC0028(Prdm15)-f41,AC0069(Pax4)-f28,AC0069(Pax4)-f64,AC0069(Pax4)-f46,AC0069(Pax4)-f38,AC0069(Pax4)-f29,AC0069(Pax4)-f65,AC0069(Pax4)-f15,0.18034995,0.17372309,0.17311536,0.16987017,0.1632732,0.15980864,0.15978588,0.15825082,0.15686022,0.15583286
