CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
80,223,AC0069(Pax4)-f9,AC0069(Pax4)-f24,AC0069(Pax4)-f18,AC0069(Pax4)-f50,AC0069/AC0068(Pax4/Pax5)-f4,AC0069(Pax4)-f22,AC0069(Pax4)-f16,AC0069(Pax4)-f25,AC0069/AC0012(Pax4/Hoxd8)-f13,AC0069(Pax4)-f11,0.18368575,0.18329811,0.17835397,0.16517961,0.1621361,0.15637691,0.15497313,0.1508473,0.1479855,0.14580522
80,276,AC0069(Pax4)-f24,AC0069(Pax4)-f26,AC0069(Pax4)-f19,AC0069(Pax4)-f41,AC0069(Pax4)-f52,AC0069(Pax4)-f33,AC0069(Pax4)-f55,AC0069(Pax4)-f70,AC0069(Pax4)-f65,AC0069(Pax4)-f37,0.19438969,0.18856741,0.18144652,0.17534997,0.17506778,0.1749903,0.17495134,0.16271904,0.1520119,0.14782776
80,291,AC0069(Pax4)-f19,AC0069/AC0073(Pax4/Prdm5)-f44,AC0069(Pax4)-f5,AC0069(Pax4)-f60,AC0069(Pax4)-f35,AC0069(Pax4)-f4,AC0029/AC0069/AC0074(Zic2/Zic3/Pax4/Ikzf3)-f32,AC0069(Pax4)-f70,AC0012(Lhx1)-f22,AC0069(Pax4)-f9,0.1987573,0.18378453,0.17809789,0.17751071,0.17602286,0.17410989,0.1716523,0.15517399,0.14856365,0.14794494
80,832,AC0069(Pax4)-f11,AC0069(Pax4)-f9,AC0069(Pax4)-f2,AC0069(Pax4)-f28,AC0069(Pax4)-f17,AC0069(Pax4)-f37,AC0069(Pax4)-f54,AC0061(Nr1h3::Rxra)-f15,AC0069(Pax4)-f10,AC0069(Pax4)-f66,0.18946421,0.18656686,0.18325508,0.18216549,0.18122466,0.1811418,0.16463204,0.15299201,0.14666244,0.14531107
80,350,AC0069(Pax4)-f70,AC0069(Pax4)-f78,AC0069(Pax4)-f60,AC0069(Pax4)-f43,AC0069(Pax4)-f2,AC0069(Pax4)-f17,AC0069(Pax4)-f71,AC0069(Pax4)-f58,AC0069(Pax4)-f48,AC0069(Pax4)-f7,0.17454307,0.16464196,0.15666878,0.14260595,0.13841029,0.131112,0.13108675,0.13027135,0.12886544,0.1280897
85,223,AC0069(Pax4)-f70,AC0069(Pax4)-f15,AC0069(Pax4)-f58,AC0065/AC0069(Klf4/Pax4)-f25,AC0069(Pax4)-f21,AC0069(Pax4)-f18,AC0069(Pax4)-f33,AC0069/AC0074/AC0050(Pax4/Ikzf3/Tfcp2l1)-f26,AC0069(Pax4)-f66,AC0069(Pax4)-f77,0.17033012,0.17017873,0.14707987,0.14685088,0.14100106,0.13704626,0.13560958,0.13212378,0.12709266,0.1267397
85,276,AC0022/AC0069(Yy1/Pax4)-f62,AC0069(Pax4)-f33,AC0045(Ebf4/Ebf2/EBF1)-f20,AC0069(Pax4)-f77,AC0069(Pax4)-f8,AC0069(Pax4)-f79,AC0069/AC0052(Pax4/Bcl11B)-f3,AC0069(Pax4)-f50,AC0069/AC0063/AC0065(Pax4/Lef1/Klf4)-f12,AC0069(Pax4)-f78,0.20985857,0.19045414,0.1827558,0.17437312,0.16094105,0.14201453,0.13677157,0.13652036,0.1354243,0.1339675
85,291,AC0069(Pax4)-f59,AC0069/AC0025(Pax4/Neurog1)-f52,AC0069(Pax4)-f70,AC0069(Pax4)-f75,AC0002/AC0065/AC0074(Stat2/Klf4/Ikzf3/Irf1)-f40,AC0069(Pax4)-f69,AC0069/AC0073/AC0064(Pax4/Prdm5/Pparg::Rxra)-f49,AC0069(Pax4)-f80,AC0069(Pax4)-f53,AC0069(Pax4)-f29,0.17360249,0.16732626,0.16530636,0.16146693,0.15894239,0.15079726,0.15073995,0.15062015,0.15061195,0.14289963
85,832,AC0073(Prdm5)-f81,AC0069(Pax4)-f47,AC0069(Pax4)-f46,AC0069(Pax4)-f19,AC0069(Pax4)-f49,AC0069(Pax4)-f5,AC0069/AC0058(Pax4/NR5A1)-f42,AC0069(Pax4)-f71,AC0069(Pax4)-f66,AC0069(Pax4)-f54,0.25333014,0.15791242,0.15769804,0.15749444,0.15635692,0.15561122,0.14691176,0.14598446,0.14149258,0.14063092
85,350,AC0064(Nr2f6)-f77,AC0053(Six4)-f28,AC0069(Pax4)-f4,AC0069(Pax4)-f18,AC0069(Pax4)-f2,AC0069(Pax4)-f5,AC0069/AC0064/AC0073(Pax4/Pparg::Rxra/Prdm5)-f46,AC0069(Pax4)-f0,AC0069(Pax4)-f72,AC0069(Pax4)-f71,0.18829404,0.18598501,0.17436618,0.17256403,0.16814151,0.16803417,0.16677924,0.16285469,0.14996506,0.14990874
