num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
80,96,0.0001,0.3,930,0.036031947,0.18982083,0.14579925,0.2470231137114085,0.5678726757306862,0.5079413972093256,0.03632913,0.19060202,0.14674412,0.2408127213144242,0.555087083039304,0.4959543369766538,97,101
80,96,0.0005,0.3,930,0.038285844,0.19566768,0.15073816,0.1999222973487123,0.5642642224547676,0.4995494830550944,0.03696322,0.19225821,0.148546,0.2275618127028488,0.5506108920406926,0.4914270352000014,28,29
80,96,0.001,0.3,930,0.038377013,0.19590051,0.15075332,0.1980171540723032,0.5652773195320119,0.4968878601745088,0.036889657,0.1920668,0.14862828,0.229099066246051,0.5574087221588674,0.4964922442991542,49,39
5,168,0.0001,0.3,930,0.10865289,0.32962537,0.23605196,-1.2705715239963644,0.2899975354847996,0.3255911325922178,0.10865289,0.32962537,0.23605196,-1.2705715239963644,0.2899975354847996,0.3255911325922178,199,199
5,168,0.0005,0.3,930,0.0405555,0.20138396,0.1560831,0.1524921794432788,0.4979768261582473,0.4435690383467501,0.040992428,0.20246586,0.15764944,0.143361548664769,0.4753198761943856,0.4295853034586215,52,61
5,168,0.001,0.3,930,0.04214066,0.2052819,0.16010295,0.1193664087527496,0.4663444437453307,0.417152008009,0.04214066,0.2052819,0.16010295,0.1193664087527496,0.4663444437453307,0.417152008009,33,33
10,168,0.0001,0.3,930,0.06039238,0.24574861,0.1853812,-0.2620486655242628,0.396233503033589,0.3720559385947893,0.06039238,0.24574861,0.1853812,-0.2620486655242628,0.396233503033589,0.3720559385947893,199,199
10,168,0.0005,0.3,930,0.041358806,0.20336865,0.15709369,0.1357050878341,0.4827093581797247,0.4278445601409156,0.04094694,0.2023535,0.15626721,0.1443120465264097,0.4620288219477272,0.4173790327171767,83,91
10,168,0.001,0.3,930,0.04335709,0.20822366,0.16166276,0.0939460442780105,0.4548291398962791,0.4053882317586875,0.04263875,0.20649153,0.15944025,0.1089575911526049,0.4540667988546856,0.4099210686010645,11,30
15,168,0.0001,0.3,930,0.048011295,0.2191148,0.1692058,-0.0033151345662372,0.4854879445128151,0.4577507686848215,0.04835413,0.21989572,0.1694433,-0.0104794926341351,0.4758672938447378,0.4452715970461513,199,194
15,168,0.0005,0.3,930,0.03969955,0.19924746,0.15445036,0.1703793848242342,0.549628295135837,0.5043539739141676,0.038344618,0.19581781,0.1514859,0.1986941056571088,0.5409293379154986,0.4853689477192057,56,41
15,168,0.001,0.3,930,0.03898266,0.19744027,0.15285794,0.1853607066593817,0.5504423161619911,0.4997912638258351,0.036691215,0.19154951,0.14803557,0.2332460004798303,0.5550169576261058,0.4975524933994963,36,41
20,168,0.0001,0.3,930,0.04226751,0.20559064,0.1580119,0.1167155721713103,0.5028638336259087,0.461640833059755,0.04215653,0.20532055,0.15861103,0.1190347893468971,0.4992343156092457,0.4564252442164467,189,194
