batch,lr,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00040,500,0.05477172,0.23403358,0.17828621,0.2837057244172947,0.5567542612670016,0.5334235399985364
24,0.00100,500,0.05464338,0.23375924,0.17842343,0.28538410638942524,0.5530394401766039,0.5261781367619094
48,0.00006,500,0.058622763,0.24212138,0.18419898,0.23334252611745998,0.5560787892646202,0.5329261728786382
48,0.00010,500,0.055446126,0.23547001,0.17894442,0.2748859565974491,0.5617453226366436,0.5375521456109835
48,0.00040,500,0.05585886,0.2363448,0.17860603,0.2694883012206716,0.5464806740297328,0.5201115250336636
48,0.00100,500,0.05493824,0.23438908,0.17942585,0.28152793178904945,0.5689222813361138,0.5460471141884388
96,0.00006,500,0.05403597,0.23245639,0.17775303,0.2933277660781055,0.5620652677513176,0.5417219423134775
96,0.00010,500,0.053655837,0.2316373,0.17614459,0.29829902746951875,0.5551827028635477,0.5323370067823353
96,0.00040,500,0.07252437,0.2693035,0.2091496,0.05154000640833656,0.5513531708579832,0.5276849573110327
96,0.00100,500,0.067716576,0.26022407,0.20432732,0.11441530139191802,0.5687987733276565,0.5441384317748529
168,0.00006,500,0.069570765,0.2637627,0.2072023,0.0901666300721633,0.5110760311581665,0.500484374466815
168,0.00010,500,0.06387066,0.25272647,0.19661036,0.16471157267241998,0.5084231450397749,0.49274576870713305
168,0.00040,500,0.071445234,0.2672924,0.21107708,0.06565273326029875,0.5103475528144354,0.49269530617934415
168,0.00100,500,0.0931686,0.30523533,0.24405855,-0.218441418117858,0.5423445975618235,0.5185134549650152
288,0.00006,500,0.057475854,0.23974122,0.18341497,0.24834165046633683,0.5131058482808781,0.49738939351835587
288,0.00010,500,0.060633745,0.2462392,0.19030792,0.20704330228956425,0.5097515788220133,0.4988334543283658
288,0.00040,500,0.06662122,0.25811088,0.19832948,0.12874021216006626,0.539964341282397,0.517477426446152
288,0.00100,500,0.054978825,0.23447564,0.17785199,0.28099723708461577,0.5443875763590504,0.5237630829613354
24,0.00006,293,0.053580537,0.2314747,0.17568359,0.2781463068190887,0.5552777900133834,0.5341835204905792
24,0.00010,293,0.060806435,0.2465896,0.19043499,0.18079685778096222,0.5536541392621411,0.5331143215654519
24,0.00040,293,0.052443303,0.22900502,0.17226897,0.29346746142766067,0.5546152620780789,0.5409735155550598
24,0.00100,293,0.053556442,0.23142265,0.17581412,0.27847100590694396,0.5488672694473744,0.5315298174994447
48,0.00006,293,0.054751687,0.23399079,0.1770892,0.2623682181228819,0.5451055549311208,0.5239965589513045
48,0.00010,293,0.0561902,0.23704472,0.18000136,0.24298818551506407,0.5580503270892263,0.5398104065545897
48,0.00040,293,0.069367,0.26337615,0.20727274,0.06546624612072827,0.5582490586613196,0.5464940142087511
48,0.00100,293,0.079052605,0.28116295,0.22470619,-0.06502129603522966,0.5527728192111399,0.542253744150469
96,0.00006,293,0.05865939,0.242197,0.18602948,0.2097224101140256,0.49703401122995894,0.4904412075690176
96,0.00010,293,0.055829488,0.23628265,0.18046395,0.24784772377329434,0.5418961107107925,0.5260762019878794
96,0.00040,293,0.055765532,0.23614727,0.18062091,0.24870943149349278,0.5525116935776704,0.5307268994995886
96,0.00100,293,0.055352412,0.23527093,0.17930417,0.2542751089611508,0.5447964782782013,0.5241127861629385
168,0.00006,293,0.06492425,0.25480238,0.19501519,0.12532027947965907,0.4977504304765217,0.4921153930299411
168,0.00010,293,0.08651303,0.29413098,0.23558481,-0.165530423867998,0.4970686123964637,0.49040243462363137
168,0.00040,293,0.0833503,0.2887045,0.22731218,-0.12292107825799325,0.5021751411291588,0.49410477599426095
168,0.00100,293,0.08837115,0.29727286,0.24114183,-0.1905635949380975,0.5446268015716748,0.5287553412908431
288,0.00006,293,0.05791786,0.2406613,0.1829967,0.21971251736534425,0.50102866423654,0.4932615585083034
288,0.00010,293,0.061465655,0.24792267,0.18907702,0.17191557892367382,0.502920636763808,0.49263248025389494
288,0.00040,293,0.061566267,0.24812551,0.19198735,0.17056002281522875,0.5009793048685648,0.4979677561002853
288,0.00100,293,0.054546844,0.23355266,0.17596911,0.265128003017712,0.5318014981443714,0.5263739241846351
