batch,lr,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
48,0.00006,90,0.012031341,0.10968747,0.0891951,-0.04372473725276049,0.6062186548014287,0.5702379481632708
48,0.00010,90,0.013469182,0.11605681,0.09535702,-0.16845814500725287,0.5979314560793231,0.559402725128227
48,0.00040,90,0.012849098,0.11335386,0.09253035,-0.11466555836416115,0.5880478730564466,0.5581072849380113
48,0.00100,90,0.012336881,0.11107151,0.090354666,-0.07023043876567914,0.5887073348595417,0.5606499044935077
96,0.00006,90,0.013149526,0.11467138,0.09437548,-0.1407278783510344,0.600027782379648,0.5687668270744639
96,0.00010,90,0.011889932,0.10904096,0.08851925,-0.031457451758144295,0.6024134640217591,0.5696767675161606
96,0.00040,90,0.012971335,0.113891765,0.09328678,-0.12526966320983823,0.584316759803727,0.5604330583253749
96,0.00100,90,0.013445139,0.11595318,0.09484735,-0.16637237570686536,0.5857682938143738,0.5550948177998735
168,0.00006,90,0.014112745,0.11879708,0.098529086,-0.22428748687635314,0.5976336902719697,0.5701991854733356
168,0.00010,90,0.013064409,0.11429965,0.09378891,-0.13334382300964376,0.5979744904764694,0.5660927554354072
168,0.00040,90,0.0134332925,0.11590208,0.094766416,-0.1653445782476224,0.5865912116050331,0.5566721259281424
168,0.00100,90,0.012116603,0.110075444,0.08901355,-0.051121255002994026,0.5837834347593325,0.5540114296780229
288,0.00006,90,0.013058125,0.114272155,0.093173,-0.13279868723234478,0.5696211087204257,0.5469694983063553
288,0.00010,90,0.012990185,0.1139745,0.093401335,-0.12690487573474107,0.5984103657426298,0.5682256251145336
288,0.00040,90,0.012500471,0.111805506,0.09118703,-0.0844220039621808,0.5953471224058959,0.5583717689109655
288,0.00100,90,0.012363417,0.1111909,0.09059051,-0.07253242726325526,0.5989006526953995,0.5670063398613239
24,0.00006,500,0.031555638,0.17763907,0.1608732,-1.8435065330087372,0.6084650688402984,0.580655432488383
24,0.00010,500,0.03429094,0.18517813,0.16841178,-2.0899871205720015,0.5929578241748901,0.5600793225965325
24,0.00040,500,0.029648028,0.17218603,0.1551039,-1.671610168542525,0.612333022331689,0.5843843354349422
24,0.00100,500,0.032772493,0.18103175,0.16426818,-1.9531587092492275,0.5886466759790188,0.5702388778515817
48,0.00006,500,0.03148528,0.17744091,0.16018242,-1.8371662687863788,0.5982351523274614,0.5686527423468385
48,0.00010,500,0.032783616,0.18106246,0.1638851,-1.9541609756174059,0.5857903833297873,0.5564317228592239
48,0.00040,500,0.0330635,0.18183371,0.16453819,-1.979381642473859,0.5746765570364039,0.5499819647174736
48,0.00100,500,0.034367125,0.18538372,0.16803068,-2.0968525845603625,0.569310805109882,0.5491892600100201
96,0.00006,500,0.031520087,0.17753898,0.16021939,-1.8403033351027722,0.5915505219506545,0.5671107259172365
96,0.00010,500,0.029978117,0.1731419,0.1559423,-1.7013549449500749,0.6024297529018425,0.5746833222111893
96,0.00040,500,0.035551224,0.18855032,0.17192736,-2.2035525067129895,0.5947830417718831,0.562008173421023
96,0.00100,500,0.03378153,0.18379752,0.16685675,-2.044083655702297,0.5859660891093614,0.5537333899680075
168,0.00006,500,0.027623013,0.16620173,0.14853822,-1.4891344340624606,0.6012292691296012,0.5739220331961821
168,0.00010,500,0.02934621,0.17130736,0.15391432,-1.6444133430213022,0.5964727578414774,0.5649502662990736
168,0.00040,500,0.032446377,0.18012878,0.1631685,-1.9237719353975513,0.5842263811610111,0.5499076681585359
168,0.00100,500,0.035471976,0.18834005,0.1719288,-2.1964115944844713,0.595091871255685,0.5636616255258008
288,0.00006,500,0.0290585,0.17046554,0.15259784,-1.6184872227425235,0.5825336903525374,0.5590562705738163
288,0.00010,500,0.033213843,0.18224666,0.16530634,-1.9929290456796571,0.5952471066860149,0.569874220297152
288,0.00040,500,0.04169389,0.20419082,0.18833718,-2.757073584775033,0.5917933207545691,0.5629266524534426
288,0.00100,500,0.030193496,0.17376275,0.15637703,-1.7207629038088328,0.591043844943399,0.5639987461759678
24,0.00006,293,0.012321659,0.11100297,0.094398275,-0.5184026647638065,0.6083722359023822,0.5820521093967156
24,0.00010,293,0.011558896,0.1075123,0.09072855,-0.42440704089437054,0.6056886973403779,0.5773629164316839
24,0.00040,293,0.010152175,0.100758,0.08368679,-0.25105627847960377,0.6032579366158963,0.5779684101913577
