num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_r,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,best_pearson_epoch,best_r2_epoch
240,96,0.00030,0.3,544,0.055955764,0.2365497,0.17958586,0.2851764767391054,0.6008683,0.5750841275008367,0.055955764,0.2365497,0.17958586,0.2851764767391054,0.6008683,10,10
250,96,0.00010,0.3,544,0.05957685,0.2440837,0.1862768,0.23891783178177883,0.60369456,0.5770784961686579,0.057001,0.23874882,0.18148564,0.2718238515577055,0.59973943,51,63
250,96,0.00030,0.3,544,0.05768703,0.24018124,0.18388568,0.2630599372865391,0.59225404,0.5509337446130834,0.057343725,0.2394655,0.18064287,0.26744552717025993,0.5751181,16,28
256,96,0.00010,0.3,544,0.05612184,0.2369005,0.17906906,0.2830548856655588,0.60570806,0.5870644616050636,0.05612184,0.2369005,0.17906906,0.2830548856655588,0.60570806,51,51
256,96,0.00030,0.3,544,0.058803536,0.2424944,0.18463148,0.24879681413414556,0.598947,0.5691765181805002,0.056349818,0.23738116,0.17964083,0.2801425113124292,0.5927152,10,16
10,168,0.00010,0.3,544,0.05854481,0.24196035,0.18444563,0.2521019578313294,0.55503875,0.5299643975940105,0.055917524,0.23646887,0.17983365,0.2856650425798446,0.5528339,122,116
10,168,0.00030,0.3,544,0.057254963,0.23928009,0.18232746,0.2685795396391586,0.55281705,0.5232874025219253,0.05688537,0.23850654,0.1814628,0.2733009639302135,0.54256475,27,14
20,168,0.00010,0.3,544,0.054418046,0.23327675,0.17580445,0.30482060567075,0.57861394,0.5519833791029527,0.053907517,0.23217992,0.17483364,0.31134244218914153,0.5740711,81,69
20,168,0.00030,0.3,544,0.05313026,0.23050003,0.17263888,0.3212717179430046,0.58908516,0.5630427684851542,0.052928247,0.2300614,0.1730726,0.3238524070080283,0.5877798,41,34
30,168,0.00010,0.3,544,0.050456796,0.2246259,0.16964015,0.3554247581309474,0.6109581,0.5837932559869778,0.050427742,0.22456121,0.16859396,0.35579583153353,0.60670316,113,107
30,168,0.00030,0.3,544,0.053211164,0.23067544,0.17529577,0.32023825424838936,0.59493303,0.5646890583495533,0.052790545,0.22976193,0.17301784,0.3256115264888938,0.5870202,1,9
40,168,0.00010,0.3,544,0.0512874,0.22646722,0.16966227,0.34481391011390405,0.61153287,0.5870367357715836,0.049922038,0.2234324,0.16705362,0.3622561610491851,0.6113434,109,104
40,168,0.00030,0.3,544,0.051411815,0.22674173,0.17088643,0.34322455511587213,0.60565925,0.5795987126189438,0.051411815,0.22674173,0.17088643,0.34322455511587213,0.60565925,1,1
50,168,0.00010,0.3,544,0.049565304,0.22263266,0.16802171,0.3668133153734019,0.6117757,0.5800209957744168,0.049565304,0.22263266,0.16802171,0.3668133153734019,0.6117757,74,74
50,168,0.00030,0.3,544,0.0514331,0.22678867,0.17068158,0.3429525917311923,0.60761976,0.5711263543299979,0.05113811,0.22613737,0.16997372,0.34672107591579004,0.6024787,16,11
60,168,0.00010,0.3,544,0.049465153,0.22240762,0.16708927,0.36809274511040124,0.61854255,0.5934421207952496,0.049080722,0.22154169,0.16653243,0.3730037375435046,0.61767036,108,81
60,168,0.00030,0.3,544,0.050614104,0.22497578,0.16935986,0.35341518488579937,0.609325,0.5834044670703546,0.050614104,0.22497578,0.16935986,0.35341518488579937,0.609325,14,14
70,168,0.00010,0.3,544,0.049314357,0.22206835,0.16603278,0.3700191506104935,0.61950094,0.5943411741213698,0.049314357,0.22206835,0.16603278,0.3700191506104935,0.61950094,74,74
70,168,0.00030,0.3,544,0.050262086,0.22419207,0.16885653,0.3579121041560729,0.6119502,0.582716025185716,0.05023768,0.22413763,0.16773622,0.35822386033770437,0.6089075,3,10
80,168,0.00010,0.3,544,0.0494934,0.22247112,0.16615404,0.36773193793185854,0.6185006,0.5934958289977018,0.04924161,0.2219045,0.16520508,0.3709484007196713,0.61752266,85,81
80,168,0.00030,0.3,544,0.05269841,0.22956134,0.17283416,0.32678857790013593,0.6098983,0.5812267149323493,0.05098669,0.22580232,0.1683946,0.348655454912674,0.60406864,25,14
90,168,0.00010,0.3,544,0.049500838,0.22248784,0.16702713,0.3676368678525376,0.61919504,0.5901276650538205,0.049379498,0.22221498,0.16590777,0.36918695052178185,0.6165761,74,82
90,168,0.00030,0.3,544,0.05087485,0.22555454,0.1685973,0.3500841003240055,0.6164819,0.5865389847014516,0.050453663,0.22461893,0.16812012,0.3554647877777707,0.6100424,19,6
100,168,0.00010,0.3,544,0.049597926,0.22270592,0.1667911,0.3663966082697421,0.61629415,0.5901945666401244,0.049464427,0.222406,0.16610433,0.36810199234024354,0.61410856,58,65
100,168,0.00030,0.3,544,0.051042266,0.22592536,0.16930336,0.3479454346825772,0.61209303,0.5837064117821439,0.051003583,0.22583973,0.16959438,0.34843966153714234,0.60451293,8,10
110,168,0.00010,0.3,544,0.05000212,0.22361153,0.16790937,0.36123313128923695,0.61600226,0.5825582332222682,0.049955994,0.22350837,0.1668601,0.36182233422960786,0.6113719,74,62
110,168,0.00030,0.3,544,0.051832087,0.22766662,0.1712623,0.3378556393783597,0.60766464,0.5773387951096332,0.051320706,0.22654074,0.16978054,0.3443884385604645,0.6012168,19,14
120,168,0.00010,0.3,544,0.049590427,0.22268908,0.16706395,0.36649234048482393,0.6210472,0.5899805178788403,0.049415875,0.22229682,0.16638584,0.36872231350187823,0.6182169,77,58
120,168,0.00030,0.3,544,0.051380675,0.22667305,0.17076723,0.3436223399091194,0.6153704,0.5841032157402728,0.05060389,0.22495309,0.1683817,0.35354567618349264,0.6072704,16,14
130,168,0.00010,0.3,544,0.0497274,0.22299641,0.16734059,0.364742662455362,0.6210096,0.5899156232097145,0.049515735,0.22252132,0.16701527,0.3674466028052197,0.6177874,77,60
130,168,0.00030,0.3,544,0.05117941,0.22622867,0.17017119,0.3461934963511042,0.61517024,0.5885718186117495,0.050435647,0.22457883,0.16872968,0.35569488172148866,0.6119623,16,14
140,168,0.00010,0.3,544,0.049928654,0.2234472,0.16787063,0.3621716535024002,0.6226498,0.5901886609382897,0.04941177,0.22228758,0.16705613,0.3687746982441198,0.6171389,77,68
140,168,0.00030,0.3,544,0.052581098,0.22930568,0.17326128,0.3282871812202952,0.6126998,0.5802844111175824,0.05144878,0.22682324,0.16993207,0.34275229032830523,0.6034209,16,10
150,168,0.00010,0.3,544,0.05060393,0.22495317,0.16929053,0.35354513042179714,0.6155766,0.5861721685943134,0.050231043,0.22412284,0.16797037,0.3583086296147113,0.61441404,62,60
150,168,0.00030,0.3,544,0.05255552,0.22924991,0.17250387,0.32861400225600834,0.6080904,0.5795943959874876,0.051222514,0.22632392,0.16998972,0.345642768962642,0.60402143,19,14
160,168,0.00010,0.3,544,0.051084816,0.2260195,0.16985436,0.34740194663491764,0.6186216,0.5935101393543984,0.051084816,0.2260195,0.16985436,0.34740194663491764,0.6186216,77,77
160,168,0.00030,0.3,544,0.054694016,0.23386751,0.17709832,0.3012950794847623,0.6084752,0.573442346199048,0.052374627,0.22885503,0.17264247,0.3309248241064563,0.5991388,16,14
170,168,0.00010,0.3,544,0.05307937,0.23038961,0.17314413,0.3219217957786109,0.6102371,0.58513998165298,0.051652182,0.22727117,0.17065862,0.3401539013253039,0.60757315,77,69
170,168,0.00030,0.3,544,0.05487629,0.2342569,0.17719595,0.2989665443011874,0.6045001,0.5737003744126188,0.05222677,0.22853178,0.1718784,0.33281365414494923,0.5982189,16,14
180,168,0.00010,0.3,544,0.051677376,0.22732659,0.17098895,0.33983201525713547,0.61622393,0.582242753420709,0.05103796,0.22591582,0.16906923,0.34800044562405463,0.6079917,75,67
180,168,0.00030,0.3,544,0.053901695,0.23216738,0.1748321,0.3114168631411287,0.6063584,0.5850237910999199,0.05167051,0.22731148,0.17060535,0.33991977893006275,0.60450166,16,14
190,168,0.00010,0.3,544,0.051961206,0.22795,0.17266028,0.3362061896275951,0.62006867,0.582397346113428,0.05107317,0.22599374,0.17046608,0.3475506824188537,0.6118166,74,60
190,168,0.00030,0.3,544,0.05329396,0.23085484,0.17498945,0.31918051599649655,0.6101251,0.5787752688314292,0.05173947,0.22746311,0.17154828,0.33903877286874307,0.60386276,16,14
200,168,0.00010,0.3,544,0.052315902,0.2287267,0.1720554,0.33167503480410243,0.6157497,0.5783199930008133,0.051970392,0.22797015,0.17115882,0.3360888119720765,0.60551655,70,60
200,168,0.00030,0.3,544,0.055859406,0.23634595,0.17974086,0.28640744338442126,0.60872865,0.5776394676846253,0.052292973,0.22867657,0.17153846,0.3319679530763896,0.60226655,8,10
210,168,0.00010,0.3,544,0.053858906,0.23207521,0.17527491,0.3119634273465486,0.61212075,0.5821276766998109,0.05236312,0.22882989,0.17199595,0.33107181540389774,0.60741246,63,60
210,168,0.00030,0.3,544,0.052666303,0.2294914,0.17214759,0.3271987058551252,0.60453916,0.5755830389871064,0.05262232,0.22939555,0.17243962,0.3277606305786007,0.59750247,10,14
220,168,0.00010,0.3,544,0.052701376,0.22956781,0.17346314,0.32675066068103664,0.61488754,0.5847778150190903,0.05191519,0.22784905,0.17161693,0.3367940250353699,0.6083092,84,88
220,168,0.00030,0.3,544,0.05665744,0.23802823,0.18079723,0.2762126718629444,0.6053704,0.5801813764651929,0.05272829,0.22962642,0.17231268,0.32640683689221084,0.60277164,3,10
230,168,0.00010,0.3,544,0.054860864,0.23422396,0.17758776,0.29916366159723595,0.61177903,0.5824486713287484,0.0537461,0.23183206,0.17431302,0.313404485392615,0.60608083,75,73
230,168,0.00030,0.3,544,0.053052224,0.23033069,0.1731894,0.3222686804985262,0.6017702,0.5777852516156634,0.053052224,0.23033069,0.1731894,0.3222686804985262,0.6017702,10,10
240,168,0.00010,0.3,544,0.05826196,0.24137515,0.18390092,0.25571531943652415,0.611688,0.5749688286854151,0.054582495,0.23362897,0.17628127,0.302719797235383,0.6009843,51,65
240,168,0.00030,0.3,544,0.056705635,0.23812945,0.18085797,0.2755970606568706,0.60149896,0.5756768695222126,0.053337596,0.23094934,0.1736039,0.31862310084025414,0.5929548,16,14
250,168,0.00010,0.3,544,0.057174843,0.23911262,0.18138841,0.26960303815423314,0.603764,0.5824096669556067,0.05502009,0.23456362,0.17715706,0.2971296209409924,0.60099864,102,88
250,168,0.00030,0.3,544,0.057609357,0.2400195,0.1828142,0.2640521850752109,0.59907705,0.5755936650134494,0.054252867,0.23292245,0.17502417,0.3069306595537662,0.59865355,16,10
256,168,0.00010,0.3,544,0.057025846,0.23880085,0.18205446,0.27150639218499784,0.6104143,0.5765955494633678,0.054061804,0.23251194,0.17537718,0.30937145902023355,0.6045325,74,65
256,168,0.00030,0.3,544,0.05953169,0.24399117,0.18402816,0.23949481764784974,0.601887,0.5656043470968857,0.05469873,0.2338776,0.17676459,0.3012348487212603,0.5888499,17,14
