batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
24,0.00001,0.3,460,0.05669788,0.23811316,0.18398489,0.24018110009562166,0.52177584,0.5087778900566559,0.056401,0.23748894,0.1823391,0.24415964830683023,0.51339513,0.4982701192204593,51,66
24,0.00005,0.3,460,0.05386405,0.2320863,0.1764371,0.2781577275922247,0.55352825,0.5249431619542575,0.053863686,0.23208551,0.17658547,0.27816268209530626,0.54708475,0.5196390362433561,65,62
24,0.00010,0.3,460,0.05834767,0.24155262,0.18577531,0.21807187402174777,0.55361396,0.5320221176617675,0.05415521,0.23271272,0.17706394,0.2742559073203049,0.5484985,0.5223480636138491,23,21
24,0.00050,0.3,460,0.068837136,0.26236832,0.20283125,0.07750070250973107,0.5571033,0.5355683093714284,0.0536904,0.2317119,0.17677176,0.280484860024538,0.5523288,0.5232843891125701,23,19
96,0.00001,0.3,460,0.057188258,0.23914066,0.18364875,0.23360943235212717,0.50579005,0.48947146387305496,0.057188258,0.23914066,0.18364875,0.23360943235212717,0.50579005,0.48947146387305496,31,31
96,0.00005,0.3,460,0.055860743,0.23634878,0.18188845,0.25139975187794183,0.5457894,0.5208317956943541,0.054018624,0.23241907,0.17771994,0.27608623498895335,0.54087424,0.5141377385039716,86,95
96,0.00010,0.3,460,0.06883326,0.26236093,0.20662926,0.0775525500181653,0.5516402,0.5224072160698581,0.054178704,0.23276319,0.17727824,0.27394103271221903,0.5479237,0.5224251912339696,3,2
96,0.00050,0.3,460,0.060461607,0.24588943,0.18963636,0.1897427072340011,0.55952793,0.5280975727865806,0.05339412,0.23107168,0.17542705,0.284455344777251,0.5446053,0.5119450178830829,57,46
168,0.00001,0.3,460,0.056961175,0.2386654,0.18431076,0.23665260347886563,0.5071151,0.4877671925065772,0.056961175,0.2386654,0.18431076,0.23665260347886563,0.5071151,0.4877671925065772,50,50
168,0.00005,0.3,460,0.061832525,0.24866147,0.18973367,0.17137071751526978,0.49977067,0.48697921093812035,0.058003,0.24083813,0.1840451,0.22269084843005604,0.4986831,0.486208214196869,6,11
168,0.00010,0.3,460,0.06445926,0.25388828,0.19742799,0.1361693854826329,0.49339417,0.47605212246314554,0.06007266,0.24509725,0.18819307,0.1949549999432696,0.48649585,0.47309798778497625,5,7
168,0.00050,0.3,460,0.088636465,0.29771876,0.23574829,-0.18783383296742429,0.54704154,0.5247854473764061,0.05475791,0.23400408,0.178002,0.2661788911567252,0.5410612,0.5196355151420677,43,32
24,0.00001,0.3,251,0.06341854,0.25183037,0.19268899,0.1780410176150483,0.53018826,0.5164039044448332,0.05696028,0.23866352,0.18175621,0.2617455409681092,0.52474827,0.5148321645643392,52,50
24,0.00005,0.3,251,0.05461763,0.23370415,0.17611304,0.292108351997604,0.560445,0.5392770141833564,0.05461763,0.23370415,0.17611304,0.292108351997604,0.560445,0.5392770141833564,52,52
24,0.00010,0.3,251,0.054448545,0.23334213,0.17618065,0.2942997980695111,0.5623342,0.5409329719127602,0.053902805,0.23216978,0.17495607,0.3013730841638924,0.55640054,0.5399040321082307,32,25
24,0.00050,0.3,251,0.055030018,0.23458478,0.17665197,0.2867634937991901,0.5704189,0.5478844626088164,0.052870676,0.22993624,0.17294918,0.31475036455535843,0.5681987,0.5467037054478721,52,83
96,0.00001,0.3,251,0.057774346,0.24036294,0.18229762,0.2511945527619661,0.51609963,0.5021745162487318,0.057748616,0.24030942,0.18373375,0.25152805076917906,0.5150765,0.5017239274965847,51,35
96,0.00005,0.3,251,0.060506824,0.24598135,0.19004852,0.2157792737406683,0.5333487,0.5193786175216599,0.056703657,0.2381253,0.18117675,0.26507161691674985,0.5260453,0.5189490896310407,61,39
96,0.00010,0.3,251,0.05780202,0.2404205,0.18355314,0.25083591672289873,0.5722596,0.5540792624420798,0.05315417,0.23055188,0.17368692,0.31107603564245423,0.56685513,0.5437800501994409,102,97
96,0.00050,0.3,251,0.058750067,0.24238414,0.18396121,0.23854835256285523,0.5711726,0.5516489483063906,0.053608555,0.23153521,0.1743549,0.30518686957819396,0.56657773,0.5485923768354616,7,1
168,0.00001,0.3,251,0.05708742,0.23892975,0.18288586,0.26009776604562385,0.52020764,0.5068221097343815,0.05708742,0.23892975,0.18288586,0.26009776604562385,0.52020764,0.5068221097343815,67,67
168,0.00005,0.3,251,0.05744578,0.23967849,0.18336561,0.25545301363379813,0.52198094,0.5112631628491257,0.05744578,0.23967849,0.18336561,0.25545301363379813,0.52198094,0.5112631628491257,38,38
168,0.00010,0.3,251,0.057333693,0.23944455,0.1832544,0.2569058417043443,0.5260705,0.5167147195492059,0.05725011,0.23926994,0.18229307,0.2579891535120541,0.52474606,0.5127132277014556,16,1
168,0.00050,0.3,251,0.10514053,0.3242538,0.26394305,-0.3627120287362151,0.55287427,0.530166560400262,0.05583567,0.23629573,0.17830835,0.2763214553102894,0.5421969,0.5184850388189964,34,29
