batch,lr,drop_out,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
96,0.00010,0.1,234,0.060487185,0.24594143,0.1874854,0.21595384479015278,0.5446184868516889,0.5117727290922245
96,0.00040,0.1,234,0.057472166,0.23973353,0.18169223,0.25503511661650613,0.5634586149131852,0.5408661219087209
96,0.00006,0.3,234,0.075277425,0.27436733,0.21355239,0.024239983894032147,0.5598364578743684,0.5184531673303906
96,0.00010,0.3,234,0.057912793,0.24065077,0.18209818,0.24932359212263366,0.5613075688061528,0.5308902324568839
96,0.00040,0.3,234,0.058668837,0.24221651,0.18522945,0.23952360514829374,0.555077130015118,0.5291048556954333
168,0.00006,0.1,234,0.06259483,0.2501896,0.19279365,0.1886341467370426,0.5264495675599192,0.5035888062899982
168,0.00010,0.1,234,0.059037928,0.24297722,0.18422161,0.23473940843086383,0.55488743459415,0.5293737743816717
168,0.00040,0.1,234,0.05730896,0.2393929,0.18110566,0.25715060344003504,0.5652651500350057,0.5385390589277144
168,0.00006,0.3,234,0.058488667,0.2418443,0.18440887,0.24185908889479846,0.5765588416650274,0.5458460236919139
168,0.00010,0.3,234,0.059422974,0.24376827,0.18459956,0.22974833453916033,0.569958882892408,0.5412368619353172
168,0.00040,0.3,234,0.060858216,0.24669458,0.1905703,0.2111444691962736,0.5325056279315273,0.508478378848963
288,0.00006,0.1,234,0.055481095,0.23554425,0.18064871,0.2808437224639735,0.5818136181730424,0.5517358706849981
288,0.00010,0.1,234,0.063113004,0.25122303,0.19245864,0.1819174969303191,0.5470828606076703,0.5184398310452695
288,0.00040,0.1,234,0.059087355,0.2430789,0.18375629,0.23409868654799215,0.5470026184050416,0.5168108392853027
288,0.00006,0.3,234,0.085312255,0.2920826,0.2309494,-0.10583329913138795,0.5191548695990136,0.492501514639468
288,0.00010,0.3,234,0.05601853,0.23668234,0.17917383,0.27387739924537746,0.5590252759071314,0.5342034673179208
288,0.00040,0.3,234,0.060892995,0.24676506,0.18822323,0.21069372492137906,0.5692862422460001,0.546104497518479
24,0.00006,0.1,90,0.08624549,0.29367584,0.23313472,-0.08404010115517768,0.5688051813289425,0.5497324087608809
24,0.00010,0.1,90,0.072811484,0.26983604,0.20983464,0.08481518741316552,0.5666773147833013,0.5468744143603017
24,0.00040,0.1,90,0.062814966,0.25062913,0.19088182,0.2104637687369788,0.5505652038581712,0.5253262934017612
24,0.00006,0.3,90,0.0717417,0.2678464,0.20892283,0.09826157710137062,0.5686322256715358,0.5246229216067295
24,0.00010,0.3,90,0.06681246,0.25848106,0.19808939,0.16021827834337743,0.5881616399155576,0.5543846705019662
24,0.00040,0.3,90,0.05834094,0.24153869,0.18498264,0.2666987751765747,0.5802737063664503,0.5535188089465363
48,0.00006,0.1,90,0.08324089,0.28851497,0.22635815,-0.04627455982486195,0.5216352276429217,0.49540149010445983
48,0.00010,0.1,90,0.0767194,0.27698267,0.21721704,0.03569564498621647,0.5732183147772056,0.5486453000996075
48,0.00040,0.1,90,0.07955215,0.2820499,0.21905348,9.008053321690745e-05,0.5529550582607464,0.5256939242143084
48,0.00006,0.3,90,0.07316,0.27048105,0.21206817,0.08043455157813295,0.5795638258487793,0.5430769946686623
48,0.00010,0.3,90,0.061045412,0.2470737,0.1891527,0.23270567893209515,0.5916252720926194,0.5615955489970234
48,0.00040,0.3,90,0.059920974,0.2447876,0.18820716,0.24683901950385856,0.5758172281566267,0.5488558965849657
96,0.00006,0.1,90,0.06186582,0.24872841,0.1917436,0.22239370845881767,0.560865988227115,0.5345932978697541
96,0.00010,0.1,90,0.063401274,0.2517961,0.19412363,0.2030942529855838,0.5820557713964818,0.5560363687600922
96,0.00040,0.1,90,0.06365797,0.2523053,0.19390725,0.1998678398883944,0.5640743296158605,0.5457101134564526
96,0.00006,0.3,90,0.068369254,0.26147515,0.20281605,0.14065060638095972,0.5781907946037559,0.5515831747962168
96,0.00010,0.3,90,0.059538655,0.24400544,0.18637797,0.2516444498090872,0.5951756931249917,0.5704390643690785
96,0.00040,0.3,90,0.063703835,0.2523962,0.19466527,0.1992913474914627,0.5826735928626181,0.5539771961709121
168,0.00006,0.1,90,0.064410344,0.25379193,0.19664444,0.19041099852983456,0.5495196778750688,0.5214423253417936
168,0.00010,0.1,90,0.062012512,0.24902311,0.19188875,0.22054991827662274,0.554670090799843,0.5304369441980871
168,0.00040,0.1,90,0.064844295,0.25464544,0.19462833,0.18495661855395595,0.5491978117433203,0.5306940046191692
168,0.00006,0.3,90,0.06024338,0.24544527,0.18871273,0.24278662073763124,0.6019451262908031,0.5797073344010297
168,0.00010,0.3,90,0.059871085,0.24468568,0.18739544,0.24746608833919403,0.5787324038794072,0.55887911184943
168,0.00040,0.3,90,0.05845282,0.24177018,0.18565176,0.2652926574240615,0.5699161943130229,0.5439464526729757
288,0.00006,0.1,90,0.06332136,0.25163737,0.1932899,0.20409871990553707,0.552308669747342,0.5239254799140909
288,0.00010,0.1,90,0.059698556,0.24433288,0.18641381,0.24963464116349654,0.5661148902575763,0.5379211807296544
288,0.00040,0.1,90,0.05999408,0.24493688,0.18678695,0.24592019332248127,0.5645388681267006,0.543921343380769
288,0.00006,0.3,90,0.09338991,0.30559763,0.23841026,-0.17384003430391326,0.5391164404729119,0.538250036473841
288,0.00010,0.3,90,0.062607996,0.2502159,0.19381222,0.2130652649007101,0.5594469083893554,0.5258353629611545
288,0.00040,0.3,90,0.058040485,0.24091592,0.1848245,0.27047532598005,0.5618262036890738,0.5315452229696602
24,0.00006,0.1,500,0.11381852,0.33737,0.2730615,-0.4884971722847049,0.5335482359974586,0.5004624637830957
24,0.00010,0.1,500,0.09016749,0.30027902,0.23746711,-0.1791934463641911,0.5406559065774874,0.5077723784202752
24,0.00040,0.1,500,0.06985728,0.26430526,0.2036315,0.08641953548941317,0.5496604270513483,0.5304679408202349
