batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
24,0.00800,0.3,314,0.050866004,0.22553493,0.17083755,0.3378798925231442,0.6137636,0.5793646455698922,0.04804537,0.21919255,0.16561304,0.37459594444645816,0.6122616,0.5838524674849497,5,4
96,0.00050,0.3,314,0.06755397,0.25991145,0.20113881,0.1206535875843564,0.58223623,0.5508992189954082,0.055031076,0.23458703,0.17886454,0.2836633542004813,0.5573929,0.5254087284983874,41,28
96,0.00100,0.3,314,0.06000132,0.24495167,0.19129431,0.21896604564074684,0.61460525,0.5819019469999978,0.050427422,0.22456051,0.17035995,0.3435889603314132,0.5976085,0.5646652205134473,47,52
96,0.00500,0.3,314,0.051429413,0.22678053,0.17168537,0.33054604993031933,0.6145588,0.5818376674028352,0.050720725,0.22521262,0.17140684,0.33977102790544045,0.5971989,0.5640829784545431,45,31
96,0.00800,0.3,314,0.049885962,0.22335166,0.16885056,0.35063707096093655,0.6057598,0.5717819480242704,0.049800362,0.22315995,0.16925144,0.3517512858460121,0.59722185,0.5629332308143058,15,22
168,0.00050,0.3,314,0.06204667,0.24909168,0.19259407,0.1923417742358945,0.5999317,0.5673235321121245,0.05008857,0.22380476,0.16819754,0.3479997475092209,0.5929295,0.5664978328442904,60,57
168,0.00100,0.3,314,0.054469097,0.23338616,0.17722183,0.29097868649923775,0.60510993,0.5780177842544737,0.050259463,0.22418623,0.16970205,0.3457752121729245,0.58888733,0.5538808184115598,12,38
168,0.00500,0.3,314,0.06445204,0.25387406,0.19897312,0.16103129636790103,0.6033493,0.5719234230552636,0.05181159,0.2276216,0.17366289,0.32557130443250615,0.5969728,0.565923874087146,33,27
168,0.00800,0.3,314,0.050565306,0.22486731,0.17054357,0.34179408254864085,0.6050144,0.5658420542123718,0.050565306,0.22486731,0.17054357,0.34179408254864085,0.6050144,0.5658420542123718,28,28
24,0.00050,0.3,259,0.056394238,0.23747471,0.17944977,0.26441075346167164,0.5855933,0.5594441824706567,0.051261775,0.22641063,0.16960661,0.331357011410776,0.58401424,0.5607673437965317,71,60
24,0.00100,0.3,259,0.04977191,0.22309619,0.16763218,0.3507903579875806,0.5953838,0.5596354252694611,0.04977191,0.22309619,0.16763218,0.3507903579875806,0.5953838,0.5596354252694611,27,27
24,0.00500,0.3,259,0.05082551,0.22544514,0.1698141,0.33704751115982146,0.6026728,0.576404827143919,0.050348725,0.22438522,0.16858429,0.3432665193818567,0.5909903,0.5536296673244545,41,31
24,0.00800,0.3,259,0.05015469,0.22395243,0.16814572,0.34579743032011856,0.5999334,0.5674465959942889,0.05015469,0.22395243,0.16814572,0.34579743032011856,0.5999334,0.5674465959942889,6,6
96,0.00050,0.3,259,0.052598763,0.2293442,0.1736187,0.31391773349435215,0.57778347,0.5491891786510525,0.052359443,0.22882186,0.1720484,0.3170393328182365,0.57248914,0.5369652039162913,49,57
96,0.00100,0.3,259,0.053032953,0.23028885,0.1739793,0.3082542454600685,0.5776274,0.5433798571428793,0.05239231,0.22889367,0.17259832,0.31661054847668435,0.5729622,0.539751123211387,15,26
96,0.00500,0.3,259,0.052493,0.2291135,0.17336571,0.3152972775616327,0.58185476,0.552678076725613,0.052493,0.2291135,0.17336571,0.3152972775616327,0.58185476,0.552678076725613,18,18
96,0.00800,0.3,259,0.054261185,0.2329403,0.17750116,0.29223366452067756,0.59115547,0.5674583980978849,0.051366217,0.22664116,0.16950175,0.3299946707634591,0.57976884,0.5493533043061153,38,25
168,0.00050,0.3,259,0.055285215,0.23512809,0.17796989,0.2788765062906048,0.56908643,0.5474760727138271,0.055046316,0.23461951,0.17691286,0.28199259333809423,0.5443877,0.5170897379718339,41,38
168,0.00100,0.3,259,0.06293582,0.25087014,0.19102262,0.17908428705097668,0.57999265,0.5521788706339483,0.05283058,0.22984904,0.17232795,0.3108939871130507,0.5791582,0.5506471447040381,35,23
168,0.00500,0.3,259,0.058276113,0.24140446,0.18598361,0.2398641307776085,0.5931362,0.5624733783687026,0.052795716,0.22977318,0.17252949,0.311348704389832,0.56700784,0.5360347882525799,31,23
168,0.00800,0.3,259,0.06395572,0.25289467,0.19730793,0.16578105244819163,0.58640623,0.5551296509717089,0.052909702,0.23002109,0.17481548,0.3098619096706984,0.566055,0.5329474539300098,7,1
24,0.00050,0.3,120,0.060235977,0.24543019,0.18999523,0.21572162536464912,0.58837,0.548502945550833,0.051458422,0.22684449,0.17203884,0.3300062326192724,0.5780799,0.5411276439560065,51,43
24,0.00100,0.3,120,0.05035422,0.22439747,0.16947968,0.3443830344978769,0.59845954,0.5575575346238023,0.049979962,0.22356199,0.16851184,0.3492559403751645,0.5964257,0.5530511344593272,32,24
