batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
322,0.00100,0.3,930,0.053450022,0.2311926,0.18421485,-0.11697087425811326,0.5488944881233716,0.48976488376737315,0.03698423,0.19231285,0.14944185,0.22712277147295723,0.5188938684929724,0.47262975191342693,37,22
322,0.00500,0.3,930,0.3003537,0.54804534,0.45635757,-5.276636036886214,0.2045159768184345,0.18741122899644025,0.12101332,0.3478697,0.2784365,-1.5288733332246722,0.04465789026713906,0.044665758325284556,0,24
96,0.00010,0.3,350,0.04018118,0.20045243,0.15529151,0.2153865695483148,0.5144334592553541,0.45743915774784916,0.04018118,0.20045243,0.15529151,0.2153865695483148,0.5144334592553541,0.45743915774784916,25,25
96,0.00050,0.3,350,0.051629037,0.22722024,0.1792836,-0.008154585079523269,0.5682873872517596,0.48814396823086204,0.03630393,0.1905359,0.147678,0.29109704048389795,0.5552266543708271,0.48230601253106614,63,50
96,0.00100,0.3,350,0.035231456,0.18770044,0.1453997,0.31203915046844244,0.5800330922421312,0.5070610092106554,0.035231456,0.18770044,0.1453997,0.31203915046844244,0.5800330922421312,0.5070610092106554,28,28
96,0.00500,0.3,350,0.07357671,0.27125028,0.22443819,-0.436724313731359,0.5851088692386456,0.506882534769692,0.036785465,0.19179538,0.1480352,0.2816942175998701,0.5510487605422129,0.4719559685389218,47,48
168,0.00010,0.3,350,0.039900083,0.19975005,0.15531619,0.22087542037568764,0.5224668574924963,0.4645849732811226,0.039640877,0.19910017,0.15499325,0.2259368722302908,0.5115018391800301,0.4549454236690944,44,37
168,0.00050,0.3,350,0.038741376,0.19682829,0.15223518,0.24350136742457096,0.5634766308361581,0.4883598262496585,0.037109163,0.19263738,0.1498238,0.2753734073415769,0.5508250471480558,0.47370700377761377,63,37
168,0.00100,0.3,350,0.0389687,0.19740492,0.15501139,0.23906242057948413,0.5759230774637414,0.5030971315465794,0.036649216,0.19143985,0.14795738,0.2843547399560252,0.5548944379000273,0.4866717679058051,50,53
168,0.00500,0.3,350,0.042056415,0.2050766,0.16026759,0.1787689540451879,0.5684548008524463,0.4895873831996423,0.036228765,0.19033855,0.14756504,0.29256484792039494,0.5681822150570722,0.4908190264636917,107,104
322,0.00010,0.3,350,0.039177142,0.19793217,0.1555533,0.23499216431891212,0.5207783928497611,0.45754698514956166,0.039177142,0.19793217,0.1555533,0.23499216431891212,0.5207783928497611,0.45754698514956166,52,52
322,0.00050,0.3,350,0.039836984,0.19959204,0.15572526,0.22210754438419533,0.520090513132582,0.4496537003226123,0.039836984,0.19959204,0.15572526,0.22210754438419533,0.520090513132582,0.4496537003226123,34,34
322,0.00100,0.3,350,0.042900946,0.20712544,0.1610929,0.16227794739845525,0.5218344911723899,0.44825318211820325,0.038464334,0.19612326,0.15220064,0.24891104392825214,0.5365728875177689,0.4675344860290053,48,44
322,0.00500,0.3,350,0.04846742,0.22015317,0.17441936,0.053581882549421644,0.5639273753557882,0.4825715296958867,0.03857744,0.1964114,0.15343533,0.2467025268653552,0.5329014019120918,0.4448068593496824,120,110
96,0.00010,0.3,490,0.04016416,0.20040998,0.15724348,0.17510161306121852,0.4981260111933553,0.436063612592837,0.04016416,0.20040998,0.15724348,0.17510161306121852,0.4981260111933553,0.436063612592837,11,11
96,0.00050,0.3,490,0.05633638,0.23735286,0.18912281,-0.15704611731486895,0.5247901038436968,0.4619973128350787,0.0382406,0.19555204,0.15250322,0.21460804583705217,0.5047437521459948,0.4488292463924805,48,27
96,0.00100,0.3,490,0.036171142,0.19018713,0.14727971,0.25711097158586105,0.5359315804617494,0.4620755887647418,0.036171142,0.19018713,0.14727971,0.25711097158586105,0.5359315804617494,0.4620755887647418,30,30
96,0.00500,0.3,490,0.059668142,0.24427064,0.1961568,-0.22547442459603473,0.516079401834637,0.4425599930522325,0.040837847,0.20208377,0.15972789,0.16126536508225287,0.5192746639929275,0.43316039102931087,57,48
168,0.00010,0.3,490,0.042783424,0.20684154,0.16307631,0.12130677875322071,0.5052956210512481,0.441984831092998,0.040770438,0.2019169,0.15686834,0.16264984666591098,0.4817156376953855,0.42097647341235617,19,24
168,0.00050,0.3,490,0.04471205,0.21145225,0.16612934,0.08169632629293255,0.5242573053615189,0.45278947579120216,0.037386864,0.19335683,0.15056296,0.2321422538791953,0.5241367589685624,0.4656094504417781,40,41
168,0.00100,0.3,490,0.041760463,0.20435376,0.16094965,0.1423165144757681,0.5558383565354745,0.469282396824636,0.03559532,0.18866722,0.1475081,0.2689372646786846,0.5514715590643677,0.4619890553779824,70,69
168,0.00500,0.3,490,0.053911716,0.23218897,0.1856658,-0.10724792470660671,0.5524285871299509,0.47542857269993105,0.036848623,0.19195995,0.15008134,0.24319664702777521,0.5332766768181672,0.45548335626768915,129,120
322,0.00010,0.3,490,0.039946914,0.19986723,0.15559213,0.17956358561239938,0.49430355082525457,0.43996603300790255,0.03969091,0.19922578,0.15609032,0.1848212647658134,0.4799764821713713,0.4190378678170261,44,35
322,0.00050,0.3,490,0.04147641,0.20365758,0.15987036,0.1481504130776291,0.5034199938932518,0.43629119829144364,0.040207896,0.20051907,0.15715685,0.17420333895762086,0.49856618663886404,0.4334297016433829,39,38
322,0.00100,0.3,490,0.03808629,0.1951571,0.15247472,0.21777725172781115,0.513949444844846,0.44122226944393467,0.03808629,0.1951571,0.15247472,0.21777725172781115,0.513949444844846,0.44122226944393467,59,59
322,0.00500,0.3,490,0.04443684,0.21080047,0.16653912,0.08734858898914633,0.5120904375721,0.4405976799955338,0.040176485,0.20044072,0.15600795,0.1748485571584536,0.49706979846065863,0.43548286276915427,75,67
96,0.00010,0.3,256,0.048721526,0.22072953,0.17493302,0.005821750413885218,0.520025339142934,0.45667610087235894,0.04030952,0.2007723,0.15605927,0.17747142921841697,0.47525113006364833,0.4241041360295354,61,33
96,0.00050,0.3,256,0.07502252,0.2739024,0.22794528,-0.530858103356971,0.5696385506759944,0.5000972477501158,0.03526223,0.1877824,0.14540163,0.28046300708119476,0.5614508006197388,0.4844920698973692,53,43
96,0.00100,0.3,256,0.04155436,0.20384887,0.15908954,0.15207007195896804,0.5705680813667151,0.4932925742564745,0.035145853,0.18747227,0.1440969,0.28283776535326943,0.5474452665250713,0.48184904211415797,8,4
